state,county,fips,lat,longitude
MN,Morrison County,27097,46.06000137,94.20600128
MN,Mower County,27099,43.67100143,92.75
MN,Murray County,27101,44.02000046,95.76399994
MN,Nicollet County,27103,44.31299973,94.35500336
MN,Nobles County,27105,43.67699814,95.75299835
MN,Norman County,27107,47.32600021,96.45800018
MN,Olmsted County,27109,44.01499939,92.38400269
MN,Otter Tail County,27111,46.40999985,95.71299744
MN,Pennington County,27113,48.05400085,96.03900146
MN,Pine County,27115,46.0719986,92.71600342
MN,Pipestone County,27117,44.02000046,96.25700378
MN,Polk County,27119,47.83599854,96.34899902
MN,Pope County,27121,45.58499908,95.44300079
MN,Ramsey County,27123,45.00600052,93.10600281
MN,Red Lake County,27125,47.90499878,96.09700012
MN,Redwood County,27127,44.44400024,95.23100281
MN,Renville County,27129,44.67399979,94.99099731
MN,Rice County,27131,44.36999893,93.28299713
MN,Rock County,27133,43.67699814,96.25099945
MN,Roseau County,27135,48.77000046,95.85600281
MN,St. Louis County,27137,47.64099884,92.44100189
MN,Scott County,27139,44.67399979,93.59300232
MN,Sherburne County,27141,45.40100098,93.82800293
MN,Sibley County,27143,44.58800125,94.19400024
MN,Stearns County,27145,45.52700043,94.59500122
MN,Steele County,27147,44.02000046,93.22599792
MN,Stevens County,27149,45.58499908,95.99900055
MN,Swift County,27151,45.28099823,95.6780014
MN,Todd County,27153,46.0719986,94.89900208
MN,Traverse County,27155,45.80199814,96.54299927
MN,Wabasha County,27157,44.27799988,92.20600128
MN,Wadena County,27159,46.5870018,94.94499969
MN,Waseca County,27161,44.02000046,93.58699799
MN,Washington County,27163,45.02299881,92.88200378
MN,Watonwan County,27165,43.97999954,94.61299896
MN,Wilkin County,27167,46.32400131,96.52600098
MN,Winona County,27169,44.02000046,91.67900085
MN,Wright County,27171,45.20100021,93.89099884
MN,Yellow Medicine County,27173,44.73699951,95.90699768
MS,Adams County,28001,31.47299957,91.37000275
MS,Alcorn County,28003,34.87599945,88.59100342
MS,Amite County,28005,31.17499924,90.81999969
MS,Attala County,28007,33.08300018,89.63899994
MS,Benton County,28009,34.79000092,89.18699646
MS,Bolivar County,28011,33.8219986,90.94599915
MS,Calhoun County,28013,33.94200134,89.3239975
MS,Carroll County,28015,33.44400024,89.90899658
MS,Chickasaw County,28017,33.90800095,88.95800018
MS,Choctaw County,28019,33.32300186,89.27300262
MS,Claiborne County,28021,32.00500107,90.98000336
MS,Clarke County,28023,32.02799988,88.67099762
MS,Clay County,28025,33.65599823,88.76799774
MS,Coahoma County,28027,34.25099945,90.6760025
MS,Copiah County,28029,31.87400055,90.43000031
MS,Covington County,28031,31.61599922,89.5759964
MS,DeSoto County,28033,34.85900116,90.01699829
MS,Forrest County,28035,31.16900063,89.29599762
MS,Franklin County,28037,31.46699905,90.89399719
MS,George County,28039,30.86499977,88.64800262
MS,Greene County,28041,31.21500015,88.6309967
MS,Grenada County,28043,33.78699875,89.82299805
MS,Hancock County,28045,30.43000031,89.51300049
MS,Harrison County,28047,30.4470005,89.09500122
MS,Hinds County,28049,32.30899811,90.39600372
MS,Holmes County,28051,33.10599899,90.05799866
MS,Humphreys County,28053,33.12799835,90.53299713
MS,Issaquena County,28055,32.79600143,90.94000244
MS,Itawamba County,28057,34.27399826,88.34999847
MS,Jackson County,28059,30.46999931,88.63700104
MS,Jasper County,28061,32.01100159,89.11799622
MS,Jefferson County,28063,31.74200058,91.02600098
MS,Jefferson Davis County,28065,31.58099937,89.78299713
MS,Jones County,28067,31.62700081,89.16899872
MS,Kemper County,28069,32.75,88.6309967
MS,Lafayette County,28071,34.35499954,89.48500061
MS,Lamar County,28073,31.21500015,89.5019989
MS,Lauderdale County,28075,32.40100098,88.65399933
MS,Lawrence County,28077,31.54700089,90.10299683
MS,Leake County,28079,32.75600052,89.52500153
MS,Lee County,28081,34.29199982,88.68199921
MS,Leflore County,28083,33.55799866,90.29199982
MS,Lincoln County,28085,31.52400017,90.49299622
MS,Lowndes County,28087,33.51800156,88.45899963
MS,Madison County,28089,32.64099884,90.09200287
MS,Marion County,28091,31.21500015,89.84600067
MS,Marshall County,28093,34.74399948,89.48500061
MS,Monroe County,28095,33.86800003,88.45899963
MS,Montgomery County,28097,33.48400116,89.58200073
MS,Neshoba County,28099,32.75600052,89.11799622
MS,Newton County,28101,32.40100098,89.11799622
MS,Noxubee County,28103,33.10599899,88.55599976
MS,Oktibbeha County,28105,33.42599869,88.8769989
MS,Panola County,28107,34.35499954,89.95999908
MS,Pearl River County,28109,30.7329998,89.59300232
MS,Perry County,28111,31.16900063,88.99199677
MS,Pike County,28113,31.17499924,90.40100098
MS,Pontotoc County,28115,34.22900009,89.03800201
MS,Prentiss County,28117,34.61199951,88.53399658
MS,Quitman County,28119,34.29199982,90.29199982
MS,Rankin County,28121,32.31499863,89.97699738
MS,Scott County,28123,32.42900085,89.5530014
MS,Sharkey County,28125,32.87599945,90.80799866
MS,Simpson County,28127,31.90200043,89.94300079
MS,Smith County,28129,32,89.52500153
MS,Stone County,28131,30.77899933,89.11199951
MS,Sunflower County,28133,33.6269989,90.60800171
MS,Tallahatchie County,28135,33.93099976,90.18900299
MS,Tate County,28137,34.66400146,89.94300079
MS,Tippah County,28139,34.79600143,88.90599823
MS,Tishomingo County,28141,34.72700119,88.23000336
MS,Tunica County,28143,34.64099884,90.38999939
MS,Union County,28145,34.48099899,88.99199677
MS,Walthall County,28147,31.17499924,90.04599762
MS,Warren County,28149,32.36600113,90.83699799
MS,Washington County,28151,33.26599884,90.95700073
MS,Wayne County,28153,31.66200066,88.69400024
MS,Webster County,28155,33.59799957,89.26100159
MS,Wilkinson County,28157,31.17499924,91.34700012
MS,Winston County,28159,33.10599899,89.06600189
MS,Yalobusha County,28161,34.02799988,89.72000122
MS,Yazoo County,28163,32.75600052,90.34400177
